연도,모델,판매량
2015,5시리즈,15817
2016,5시리즈,17179
2017,5시리즈,24095
2018,5시리즈,23387
2019,5시리즈,19138
2020,5시리즈,20643
2021,5시리즈,17747
2022,5시리즈,21513
2023,5시리즈,20492
2024,5시리즈,20697
2025,5시리즈,23876
2015,CR-V,1371
2016,CR-V,1343
2017,CR-V,1435
2018,CR-V,854
2019,CR-V,1286
2020,CR-V,596
2021,CR-V,1698
2022,CR-V,1274
2023,CR-V,777
2024,CR-V,1026
2025,CR-V,724
2018,E-PACE,636
2019,E-PACE,538
2020,E-PACE,184
2021,E-PACE,88
2021,EQA,886
2022,EQA,1412
2023,EQA,1700
2024,EQA,856
2025,EQA,482
2022,EQB,728
2023,EQB,2065
2024,EQB,1057
2025,EQB,516
2018,ES300h,2425
2019,ES300h,7293
2020,ES300h,5732
2021,ES300h,6746
2022,ES300h,4869
2023,ES300h,7839
2024,ES300h,6558
2025,ES300h,6844
2021,EV6,11023
2022,EV6,24852
2023,EV6,17227
2024,EV6,9054
2025,EV6,9368
2016,F-PACE,525
2017,F-PACE,1084
2018,F-PACE,863
2019,F-PACE,714
2020,F-PACE,311
2021,F-PACE,120
2022,F-PACE,124
2023,F-PACE,31
2017,G4 렉스턴,15260
2018,G4 렉스턴,16674
2019,G4 렉스턴,12879
2020,G4 렉스턴,8626
2016,G80,24806
2017,G80,39762
2018,G80,37219
2019,G80,22284
2020,G80,56150
2021,G80,59463
2022,G80,47154
2023,G80,43236
2024,G80,45854
2025,G80,41291
2015,GLA,1222
2016,GLA,2141
2017,GLA,2634
2018,GLA,2409
2019,GLA,3259
2020,GLA,1636
2021,GLA,1457
2022,GLA,1098
2023,GLA,926
2024,GLA,608
2025,GLA,435
2020,GLB,1649
2021,GLB,5219
2022,GLB,3356
2023,GLB,2257
2024,GLB,1302
2025,GLB,1158
2016,GLC,3332
2017,GLC,4497
2018,GLC,7750
2019,GLC,8635
2020,GLC,7450
2021,GLC,6281
2022,GLC,5162
2023,GLC,6918
2024,GLC,8659
2025,GLC,9333
2016,GLE,3104
2017,GLE,3813
2018,GLE,2960
2019,GLE,2024
2020,GLE,3996
2021,GLE,6852
2022,GLE,7136
2023,GLE,7253
2024,GLE,5083
2025,GLE,6960
2015,GLK,774
2020,GV70,98
2021,GV70,40994
2022,GV70,29492
2023,GV70,34474
2024,GV70,34469
2025,GV70,34712
2020,GV80,34217
2021,GV80,24591
2022,GV80,23439
2023,GV80,28860
2024,GV80,39369
2025,GV80,32397
2019,I-PACE,68
2020,I-PACE,47
2021,I-PACE,22
2015,M클래스,838
2015,Q5,2701
2016,Q5,1301
2017,Q5,21
2020,Q5,2007
2021,Q5,1755
2022,Q5,2289
2023,Q5,1702
2024,Q5,969
2025,Q5,1702
2015,QM3/캡처,24560
2016,QM3/캡처,15301
2017,QM3/캡처,12228
2018,QM3/캡처,6367
2019,QM3/캡처,4702
2020,QM3/캡처,2283
2021,QM3/캡처,1254
2015,QM5,6804
2016,QM5,1163
2016,QM6,14126
2017,QM6,27837
2018,QM6,32999
2019,QM6,47640
2020,QM6,46825
2021,QM6,37747
2022,QM6,27440
2023,QM6,10866
2024,QM6,7813
2025,QM6,4480
2015,RAV4,1908
2016,RAV4,1126
2017,RAV4,2194
2018,RAV4,2050
2019,RAV4,2810
2020,RAV4,2150
2021,RAV4,2095
2022,RAV4,5388
2023,RAV4,5984
2024,RAV4,5776
2025,RAV4,4756
2015,X5,2064
2016,X5,1907
2017,X5,3076
