연도,모델,판매량
2018,X5,1869
2019,X5,2205
2020,X5,3642
2021,X5,5856
2022,X5,7558
2023,X5,7899
2024,X5,12352
2025,X5,12492
2019,X7,418
2020,X7,2669
2021,X7,4210
2022,X7,4342
2023,X7,4399
2024,X7,4332
2025,X7,4593
2018,XC40,422
2019,XC40,1638
2020,XC40,2555
2021,XC40,2755
2022,XC40,2865
2023,XC40,4150
2024,XC40,5200
2025,XC40,5698
2015,XC60,776
2016,XC60,911
2017,XC60,1555
2018,XC60,2659
2019,XC60,2969
2020,XC60,2539
2021,XC60,3382
2022,XC60,2460
2023,XC60,5831
2024,XC60,5988
2025,XC60,8891
2016,XC90,782
2017,XC90,1066
2018,XC90,1593
2019,XC90,1416
2020,XC90,1363
2021,XC90,1526
2022,XC90,2314
2023,XC90,2468
2024,XC90,1616
2025,XC90,1820
2020,XM3/아르카나,34091
2021,XM3/아르카나,16535
2022,XM3/아르카나,19425
2023,XM3/아르카나,8915
2024,XM3/아르카나,8869
2025,XM3/아르카나,5562
2024,그랑 콜레오스,22034
2025,그랑 콜레오스,40877
2015,그랜드 스타렉스,48384
2016,그랜드 스타렉스,45778
2017,그랜드 스타렉스,45776
2018,그랜드 스타렉스,50180
2019,그랜드 스타렉스,40867
2020,그랜드 스타렉스,36190
2021,그랜드 스타렉스,7192
2016,니로,18710
2017,니로,23647
2018,니로,19378
2019,니로,24791
2020,니로,21239
2021,니로,18504
2022,니로,24777
2023,니로,16314
2024,니로,13590
2025,니로,13305
2018,니로 EV,3433
2019,니로 EV,1455
2023,니로 EV,4245
2024,니로 EV,980
2025,니로 EV,294
2022,니로 플러스,4714
2023,니로 플러스,2916
2024,니로 플러스,408
2015,렉스턴,6087
2016,렉스턴,5260
2017,렉스턴,1121
2020,렉스턴,3576
2021,렉스턴,5547
2022,렉스턴,3822
2023,렉스턴,2794
2024,렉스턴,1958
2025,렉스턴,1361
2018,렉스턴 스포츠,41717
2019,렉스턴 스포츠,25152
2020,렉스턴 스포츠,19564
2021,렉스턴 스포츠,13495
2022,렉스턴 스포츠,13827
2023,렉스턴 스포츠,8583
2024,렉스턴 스포츠,7362
2025,렉스턴 스포츠,817
2019,렉스턴 스포츠 칸,16174
2020,렉스턴 스포츠 칸,13504
2021,렉스턴 스포츠 칸,12318
2022,렉스턴 스포츠 칸,12078
2023,렉스턴 스포츠 칸,6766
2024,렉스턴 스포츠 칸,5417
2025,렉스턴 스포츠 칸,709
2015,모하비,8673
2016,모하비,15059
2017,모하비,15205
2018,모하비,7837
2019,모하비,9238
2020,모하비,19598
2021,모하비,10869
2022,모하비,11633
2023,모하비,5020
2024,모하비,2294
2021,스타리아,26240
2022,스타리아,33440
2023,스타리아,39780
2024,스타리아,41118
2025,스타리아,37030
2015,스포티지,52748
2016,스포티지,49877
2017,스포티지,42232
2018,스포티지,37373
2019,스포티지,28270
2020,스포티지,18424
2021,스포티지,39762
2022,스포티지,55394
2023,스포티지,69749
2024,스포티지,74255
2025,스포티지,74517
2015,시에나,801
2016,시에나,595
2017,시에나,883
2018,시에나,786
2019,시에나,389
2020,시에나,147
2021,시에나,1256
2022,시에나,1177
2023,시에나,1659
2024,시에나,998
2025,시에나,1002
2015,싼타페,92928
2016,싼타페,76917
2017,싼타페,51661
2018,싼타페,107202
2019,싼타페,86198
2020,싼타페,57578
2021,싼타페,41600
2022,싼타페,28705
2023,싼타페,51343
2024,싼타페,77161
2025,싼타페,57891
2015,쏘렌토,77768
2016,쏘렌토,80714
2017,쏘렌토,78458
2018,쏘렌토,67200
2019,쏘렌토,52325
2020,쏘렌토,82275
2021,쏘렌토,69934
2022,쏘렌토,68902
2023,쏘렌토,85811
2024,쏘렌토,94538
2025,쏘렌토,100002
2021,아이오닉 5,22671
2022,아이오닉 5,27399
2023,아이오닉 5,16605
2024,아이오닉 5,14213
2025,아이오닉 5,14211
2023,알파드,502
2024,알파드,923
2025,알파드,1559
2015,오딧세이,389
2016,오딧세이,360
2017,오딧세이,333
2018,오딧세이,1017
2019,오딧세이,753
2020,오딧세이,317
2021,오딧세이,367
2022,오딧세이,556
2023,오딧세이,202
2024,오딧세이,264
2025,오딧세이,168
2015,올란도,19686
2016,올란도,12881
2017,올란도,8067
2018,올란도,2171
2019,올란도,43
2015,익스플로러,3689
2016,익스플로러,4739
2017,익스플로러,6021
2018,익스플로러,6909
2019,익스플로러,4910
2020,익스플로러,11531
2021,익스플로러,9318
2022,익스플로러,6284
2023,익스플로러,3120
2024,익스플로러,3360
2025,익스플로러,4908
2015,카니발,67559
2016,카니발,65927
2017,카니발,68386
2018,카니발,76362
2019,카니발,63706
2020,카니발,64195
2021,카니발,73503
2022,카니발,59058
2023,카니발,69857
2024,카니발,82748
2025,카니발,78218
2015,카렌스,3647
2016,카렌스,3585
2017,카렌스,2805
2018,카렌스,1712
2017,코나,23522
2018,코나,39275
2019,코나,39877
2020,코나,31902
2021,코나,12008
2022,코나,8120
2023,코나,32196
2024,코나,25455
2025,코나,28661
2018,코나 일렉트릭,11193
2019,코나 일렉트릭,2772
2023,코나 일렉트릭,2510
2024,코나 일렉트릭,3004
2025,코나 일렉트릭,4077
2022,토레스,22484
2023,토레스,34951
2024,토레스,13170
2025,토레스,8659
2023,토레스 EVX,2113
2024,토레스 EVX,6112
2025,토레스 EVX,1812
2015,투싼,57411
2016,투싼,56677
2017,투싼,76010
2018,투싼,71989
2019,투싼,36758
2020,투싼,36144
2021,투싼,48376
2022,투싼,32890
2023,투싼,43744
2024,투싼,55257
2025,투싼,53901
2019,트래버스,842
2020,트래버스,4035
2021,트래버스,3483
2022,트래버스,1944
2023,트래버스,1162
2024,트래버스,1039
2025,트래버스,59
2015,티볼리,45021
2016,티볼리,56935
2017,티볼리,55280
2018,티볼리,43897
2019,티볼리,35428
2020,티볼리,20714
2021,티볼리,11194
2022,티볼리,8661
2023,티볼리,5581
2024,티볼리,6252
2025,티볼리,5301
2020,티볼리 에어,2739
2021,티볼리 에어,5341
2022,티볼리 에어,2469
2023,티볼리 에어,1102
2024,티볼리 에어,620
2025,티볼리 에어,2
2018,팰리세이드,1908
2019,팰리세이드,52299
2020,팰리세이드,64791
2021,팰리세이드,52338
2022,팰리세이드,49737
2023,팰리세이드,41093
2024,팰리세이드,20967
2025,팰리세이드,60909
2015,프리랜더,3
