제조사,차종,연식,신고건수,사유
BMW,BMW X5 3.0,2003,1,해당 연식 판매량 없음
BMW,BMW X5 3.0,2006,1,해당 연식 판매량 없음
BMW,BMW X5 3.0d,2007,2,해당 연식 판매량 없음
BMW,BMW X5 3.0d,2008,6,해당 연식 판매량 없음
BMW,BMW X5 3.0si,2007,1,해당 연식 판매량 없음
BMW,BMW X5 M50d,2014,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive30d,2010,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive30d,2011,5,해당 연식 판매량 없음
BMW,BMW X5 xDrive30d,2013,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive30d,2014,4,해당 연식 판매량 없음
BMW,BMW X5 xDrive35i,2012,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive40d,2012,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive40d,2014,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive50i,2011,1,해당 연식 판매량 없음
BMW,BMW X5 xDrive50i,2012,1,해당 연식 판매량 없음
BMW,BMW X7 xDrive 30d Design Pure Excellence,2020,1,차종 판매량 없음
BMW,BMW X7 xDrive 30d M Sport Package,2020,1,차종 판매량 없음
BMW,BMW X7 xDrive40d,2021,1,차종 판매량 없음
BMW,BMW X7 xDrive40d,2022,1,차종 판매량 없음
BMW,BMW X7 xDrive40d,2024,1,차종 판매량 없음
BMW,BMW X7 xDrive40d,2025,1,차종 판매량 없음
BMW,BMW X7 xDrive40i,2021,2,차종 판매량 없음
BMW,BMW X7 xDrive40i,2022,2,차종 판매량 없음
BMW,BMW X7 xDrive40i,2023,1,차종 판매량 없음
BMW,BMW X7 xDrive40i,2024,1,차종 판매량 없음
KG 모빌리티,G4 렉스턴,2018,83,차종 판매량 없음
KG 모빌리티,G4 렉스턴,2019,35,차종 판매량 없음
KG 모빌리티,G4 렉스턴,2020,24,차종 판매량 없음
KG 모빌리티,렉스턴,2001,1,차종 판매량 없음
KG 모빌리티,렉스턴,2002,3,차종 판매량 없음
KG 모빌리티,렉스턴,2003,1,차종 판매량 없음
KG 모빌리티,렉스턴,2004,3,차종 판매량 없음
KG 모빌리티,렉스턴,2006,6,차종 판매량 없음
KG 모빌리티,렉스턴,2007,11,차종 판매량 없음
KG 모빌리티,렉스턴,2008,4,차종 판매량 없음
KG 모빌리티,렉스턴,2009,3,차종 판매량 없음
KG 모빌리티,렉스턴,2011,17,차종 판매량 없음
KG 모빌리티,렉스턴,2012,6,차종 판매량 없음
KG 모빌리티,렉스턴,2013,34,차종 판매량 없음
KG 모빌리티,렉스턴,2014,12,차종 판매량 없음
KG 모빌리티,렉스턴,2015,11,차종 판매량 없음
KG 모빌리티,렉스턴,2016,8,차종 판매량 없음
KG 모빌리티,렉스턴,2017,6,차종 판매량 없음
KG 모빌리티,렉스턴,2021,78,차종 판매량 없음
KG 모빌리티,렉스턴,2022,6,차종 판매량 없음
KG 모빌리티,렉스턴,2023,5,차종 판매량 없음
KG 모빌리티,렉스턴,2024,11,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2018,12,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2019,26,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2020,11,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2021,13,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2022,4,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2023,3,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2024,1,차종 판매량 없음
KG 모빌리티,렉스턴스포츠,2025,1,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2019,16,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2020,10,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2021,12,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2022,9,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2024,1,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸,2025,2,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 칸 쿨멘,2024,5,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 쿨멘,2024,3,차종 판매량 없음
KG 모빌리티,렉스턴스포츠 쿨멘 칸,2024,1,차종 판매량 없음
KG 모빌리티,토레스,2023,125,차종 판매량 없음
KG 모빌리티,토레스,2024,13,차종 판매량 없음
KG 모빌리티,토레스,2025,8,차종 판매량 없음
KG 모빌리티,토레스 EVX,2024,171,차종 판매량 없음
KG 모빌리티,토레스 EVX,2025,5,차종 판매량 없음
KG 모빌리티,토레스 하이브리드,2026,5,차종 판매량 없음
KG 모빌리티,티볼리,2015,44,차종 판매량 없음
KG 모빌리티,티볼리,2016,72,차종 판매량 없음
KG 모빌리티,티볼리,2017,14,차종 판매량 없음
KG 모빌리티,티볼리,2018,12,차종 판매량 없음
KG 모빌리티,티볼리,2019,22,차종 판매량 없음
KG 모빌리티,티볼리,2020,38,차종 판매량 없음
KG 모빌리티,티볼리,2021,12,차종 판매량 없음
KG 모빌리티,티볼리,2022,3,차종 판매량 없음
KG 모빌리티,티볼리,2024,3,차종 판매량 없음
KG 모빌리티,티볼리,2025,1,차종 판매량 없음
KG 모빌리티,티볼리 에어,2016,28,차종 판매량 없음
KG 모빌리티,티볼리 에어,2017,18,차종 판매량 없음
KG 모빌리티,티볼리 에어,2018,4,차종 판매량 없음
KG 모빌리티,티볼리 에어,2019,23,차종 판매량 없음
KG 모빌리티,티볼리 에어,2021,1,차종 판매량 없음
기아,그랜드 카니발,2006,39,해당 연식 판매량 없음
기아,그랜드 카니발,2007,10,해당 연식 판매량 없음
기아,그랜드 카니발,2008,11,해당 연식 판매량 없음
기아,그랜드 카니발,2009,15,해당 연식 판매량 없음
기아,그랜드 카니발,2010,14,해당 연식 판매량 없음
기아,그랜드 카니발,2011,12,해당 연식 판매량 없음
기아,그랜드 카니발,2012,16,해당 연식 판매량 없음
기아,그랜드 카니발,2013,15,해당 연식 판매량 없음
기아,그랜드 카니발,2014,4,해당 연식 판매량 없음
기아,니로 EV,2019,224,차종 판매량 없음
기아,니로 EV,2020,18,차종 판매량 없음
