제조사,차종,연식,신고건수,사유
기아,니로 EV,2021,1,차종 판매량 없음
기아,니로 EV,2022,33,차종 판매량 없음
기아,니로 EV,2023,8,차종 판매량 없음
기아,니로 EV,2024,5,차종 판매량 없음
기아,니로 PHEV,2018,2,차종 판매량 없음
기아,니로 PHEV,2019,1,차종 판매량 없음
기아,니로 PHEV,2020,5,차종 판매량 없음
기아,니로 플러스,2023,15,차종 판매량 없음
기아,니로 플러스,2024,1,차종 판매량 없음
기아,니로 하이브리드,2017,145,차종 판매량 없음
기아,니로 하이브리드,2018,112,차종 판매량 없음
기아,니로 하이브리드,2019,2,차종 판매량 없음
기아,니로 하이브리드,2020,192,차종 판매량 없음
기아,니로 하이브리드,2021,12,차종 판매량 없음
기아,니로 하이브리드,2022,31,차종 판매량 없음
기아,니로 하이브리드,2023,3,차종 판매량 없음
기아,니로 하이브리드,2024,6,차종 판매량 없음
기아,니로 하이브리드,2025,1,차종 판매량 없음
기아,니로 하이브리드,2026,2,차종 판매량 없음
기아,모하비,2008,6,해당 연식 판매량 없음
기아,모하비,2009,4,해당 연식 판매량 없음
기아,모하비,2010,1,해당 연식 판매량 없음
기아,모하비,2011,5,해당 연식 판매량 없음
기아,모하비,2012,14,해당 연식 판매량 없음
기아,모하비,2013,4,해당 연식 판매량 없음
기아,모하비,2014,25,해당 연식 판매량 없음
기아,스포티지,2005,31,해당 연식 판매량 없음
기아,스포티지,2006,12,해당 연식 판매량 없음
기아,스포티지,2007,10,해당 연식 판매량 없음
기아,스포티지,2008,7,해당 연식 판매량 없음
기아,스포티지,2009,1,해당 연식 판매량 없음
기아,스포티지,2010,10,해당 연식 판매량 없음
기아,스포티지,2011,39,해당 연식 판매량 없음
기아,스포티지,2012,41,해당 연식 판매량 없음
기아,스포티지,2013,24,해당 연식 판매량 없음
기아,스포티지,2014,28,해당 연식 판매량 없음
기아,스포티지 하이브리드,2026,1,해당 연식 판매량 없음
기아,쏘렌토,2002,5,해당 연식 판매량 없음
기아,쏘렌토,2003,1,해당 연식 판매량 없음
기아,쏘렌토,2007,15,해당 연식 판매량 없음
기아,쏘렌토,2008,2,해당 연식 판매량 없음
기아,쏘렌토,2009,3,해당 연식 판매량 없음
기아,쏘렌토,2010,52,해당 연식 판매량 없음
기아,쏘렌토,2011,48,해당 연식 판매량 없음
기아,쏘렌토,2012,22,해당 연식 판매량 없음
기아,쏘렌토,2013,24,해당 연식 판매량 없음
기아,쏘렌토,2014,32,해당 연식 판매량 없음
기아,쏘렌토,2026,4,해당 연식 판매량 없음
기아,쏘렌토 GL,2003,2,해당 연식 판매량 없음
기아,쏘렌토 GL,2004,2,해당 연식 판매량 없음
기아,쏘렌토 GL,2005,1,해당 연식 판매량 없음
기아,쏘렌토 GL,2006,1,해당 연식 판매량 없음
기아,쏘렌토 GLS,2003,2,해당 연식 판매량 없음
기아,쏘렌토 GLS,2004,2,해당 연식 판매량 없음
기아,쏘렌토 GLS,2005,3,해당 연식 판매량 없음
기아,쏘렌토 하이브리드,2026,4,해당 연식 판매량 없음
기아,카니발,2002,1,해당 연식 판매량 없음
기아,카니발,2006,10,해당 연식 판매량 없음
기아,카니발,2007,2,해당 연식 판매량 없음
기아,카니발,2008,7,해당 연식 판매량 없음
기아,카니발,2010,2,해당 연식 판매량 없음
기아,카니발,2011,4,해당 연식 판매량 없음
기아,카니발,2013,2,해당 연식 판매량 없음
기아,카니발,2014,3,해당 연식 판매량 없음
기아,카니발 II,2003,1,해당 연식 판매량 없음
기아,카니발 II,2004,1,해당 연식 판매량 없음
기아,카니발 하이브리드,2026,2,해당 연식 판매량 없음
기아,카니발LPG,2002,1,해당 연식 판매량 없음
기아,카렌스,2000,1,차종 판매량 없음
기아,카렌스,2001,3,차종 판매량 없음
기아,카렌스,2002,4,차종 판매량 없음
기아,카렌스,2003,2,차종 판매량 없음
기아,카렌스,2006,1,차종 판매량 없음
기아,카렌스,2007,61,차종 판매량 없음
기아,카렌스,2008,9,차종 판매량 없음
기아,카렌스,2009,3,차종 판매량 없음
기아,카렌스,2010,3,차종 판매량 없음
기아,카렌스,2011,1,차종 판매량 없음
기아,카렌스,2012,4,차종 판매량 없음
기아,카렌스,2013,3,차종 판매량 없음
기아,카렌스,2014,46,차종 판매량 없음
기아,카렌스,2015,13,차종 판매량 없음
기아,카렌스,2016,13,차종 판매량 없음
기아,카렌스,2017,7,차종 판매량 없음
기아,카렌스,2018,3,차종 판매량 없음
르노코리아,ARKANA,2025,6,차종 판매량 없음
르노코리아,ARKANA 하이브리드,2025,6,차종 판매량 없음
르노코리아,CAPTUR,2020,26,차종 판매량 없음
르노코리아,CAPTUR,2021,6,차종 판매량 없음
르노코리아,KOLEOS,2025,237,차종 판매량 없음
르노코리아,KOLEOS,2026,5,차종 판매량 없음
르노코리아,QM3,2014,147,차종 판매량 없음
르노코리아,QM3,2015,117,차종 판매량 없음
르노코리아,QM3,2016,59,차종 판매량 없음
르노코리아,QM3,2017,26,차종 판매량 없음
르노코리아,QM3,2018,8,차종 판매량 없음
르노코리아,QM3,2019,4,차종 판매량 없음
르노코리아,QM5,2008,2,차종 판매량 없음
르노코리아,QM5,2010,1,차종 판매량 없음
르노코리아,QM5,2011,5,차종 판매량 없음
르노코리아,QM5,2012,4,차종 판매량 없음
르노코리아,QM5,2013,2,차종 판매량 없음
르노코리아,QM5,2014,21,차종 판매량 없음
르노코리아,QM5,2015,10,차종 판매량 없음
르노코리아,QM6,2017,504,차종 판매량 없음
르노코리아,QM6,2018,131,차종 판매량 없음
르노코리아,QM6,2019,175,차종 판매량 없음
르노코리아,QM6,2020,273,차종 판매량 없음
르노코리아,QM6,2021,48,차종 판매량 없음
르노코리아,QM6,2022,26,차종 판매량 없음
르노코리아,QM6,2023,8,차종 판매량 없음
르노코리아,QM6,2024,3,차종 판매량 없음
르노코리아,QM6,2025,4,차종 판매량 없음
르노코리아,QM6,2026,2,차종 판매량 없음
르노코리아,XM3,2020,287,차종 판매량 없음
르노코리아,XM3,2021,10,차종 판매량 없음
르노코리아,XM3,2022,10,차종 판매량 없음
르노코리아,XM3,2023,8,차종 판매량 없음
르노코리아,XM3,2024,4,차종 판매량 없음
메르세데스 벤츠,GLC350 e 4Matic,2018,10,차종 판매량 없음
메르세데스 벤츠,GLC350 e 4Matic,2019,126,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2010,11,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2011,4,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2012,6,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2013,16,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2014,8,차종 판매량 없음
메르세데스 벤츠,GLK220 CDI 4Matic,2015,7,차종 판매량 없음
메르세데스 벤츠,ML350 BlueTEC 4Matic,2013,4,차종 판매량 없음
메르세데스 벤츠,ML350 BlueTEC 4Matic,2014,3,차종 판매량 없음
메르세데스 벤츠,ML350 BlueTEC 4Matic,2015,3,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQA250,2021,6,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQA250,2022,4,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQA250,2023,1,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQA250,2024,2,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQB300 4MATIC,2022,1,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQB300 4MATIC,2023,22,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz EQB300 4MATIC,2024,4,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLA250 4MATIC,2020,3,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLA250 4MATIC,2021,3,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLA250 4MATIC,2024,2,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLB250 4MATIC,2020,10,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLB250 4MATIC,2021,17,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLB250 4MATIC,2022,1,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLE 450 4MATIC,2020,4,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLE 450 4MATIC,2021,9,차종 판매량 없음
메르세데스 벤츠,Mercedes-Benz GLE 450 4MATIC,2023,2,차종 판매량 없음
볼보,볼보 XC90B6 AWD,2022,2,차종 판매량 없음
볼보,볼보 XC90B6 AWD,2023,1,차종 판매량 없음
볼보,볼보 XC90D5,2006,1,차종 판매량 없음
볼보,볼보 XC90D5,2007,1,차종 판매량 없음
볼보,볼보 XC90D5 AWD,2017,7,차종 판매량 없음
볼보,볼보 XC90D5 AWD,2018,6,차종 판매량 없음
볼보,볼보 XC90D5 AWD,2019,6,차종 판매량 없음
볼보,볼보 XC90T6 AWD,2019,1,차종 판매량 없음
볼보,볼보 XC90T6 AWD,2020,1,차종 판매량 없음
볼보,볼보 XC90T8 AWD,2017,2,차종 판매량 없음
볼보,볼보 XC90T8 AWD,2019,1,차종 판매량 없음
볼보,볼보 XC90T8 AWD,2021,3,차종 판매량 없음
볼보,볼보 XC90T8 AWD,2022,2,차종 판매량 없음
재규어랜드로버,재규어 E-PACE,2018,1,차종 판매량 없음
재규어랜드로버,재규어 E-PACE,2019,4,차종 판매량 없음
재규어랜드로버,재규어 F-PACE 20d,2017,39,차종 판매량 없음
재규어랜드로버,재규어 F-PACE 20d,2018,26,차종 판매량 없음
재규어랜드로버,재규어 F-PACE 20d AWD,2019,9,차종 판매량 없음
재규어랜드로버,재규어 F-PACE 35t,2017,1,차종 판매량 없음
재규어랜드로버,재규어 F-PACE D200,2021,1,차종 판매량 없음
재규어랜드로버,재규어 I-PACE EV400,2019,19,차종 판매량 없음
재규어랜드로버,재규어 I-PACE EV400,2020,4,차종 판매량 없음
재규어랜드로버,프리랜더 SD4,2012,1,차종 판매량 없음
재규어랜드로버,프리랜더 SD4,2013,1,차종 판매량 없음
토요타,렉서스 RX500h,2023,1,차종 판매량 없음
토요타,토요타 Alphard Hybrid,2024,1,차종 판매량 없음
토요타,토요타 Alphard Hybrid,2026,1,차종 판매량 없음
토요타,토요타 RAV4 4WD,2014,1,해당 연식 판매량 없음
토요타,토요타 SIENNA,2012,2,해당 연식 판매량 없음
토요타,토요타 Sienna 4WD,2014,1,해당 연식 판매량 없음
포드,Explorer 2.3 AWD,2012,1,해당 연식 판매량 없음
현대자동차,GV70,2026,1,해당 연식 판매량 없음
현대자동차,GV80,2026,1,해당 연식 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2008,9,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2009,6,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2010,9,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2011,14,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2012,16,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2013,9,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2014,10,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2015,13,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2016,16,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2017,13,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2018,1,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2019,12,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2020,2,차종 판매량 없음
현대자동차,그랜드 스타렉스(GRAND STAREX),2021,3,차종 판매량 없음
현대자동차,싼타페,2000,6,해당 연식 판매량 없음
현대자동차,싼타페,2001,12,해당 연식 판매량 없음
현대자동차,싼타페,2002,12,해당 연식 판매량 없음
현대자동차,싼타페 하이브리드(SANTAFE HYBRID),2026,4,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2003,13,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2004,20,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2005,40,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2006,19,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2007,8,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2008,19,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2009,11,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2010,16,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2011,9,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2012,18,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2013,287,해당 연식 판매량 없음
현대자동차,싼타페(SANTAFE),2014,167,해당 연식 판매량 없음
현대자동차,코나 N(KONA N),2022,2,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2018,1,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2019,201,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2020,67,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2021,2,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2023,3,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2025,1,차종 판매량 없음
현대자동차,코나 일렉트릭 (KONA ELECTRIC),2026,1,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2020,21,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2021,3,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2023,8,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2024,2,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2025,6,차종 판매량 없음
현대자동차,코나 하이브리드(KONA HYBRID),2026,3,차종 판매량 없음
현대자동차,코나(KONA),2018,18,차종 판매량 없음
현대자동차,코나(KONA),2019,5,차종 판매량 없음
현대자동차,코나(KONA),2020,2,차종 판매량 없음
현대자동차,코나(KONA),2021,2,차종 판매량 없음
현대자동차,코나(KONA),2022,1,차종 판매량 없음
현대자동차,코나(KONA),2023,13,차종 판매량 없음
현대자동차,코나(KONA),2024,9,차종 판매량 없음
현대자동차,코나(KONA),2025,5,차종 판매량 없음
현대자동차,코나(KONA),2026,1,차종 판매량 없음
현대자동차,투싼(TUCSON),2004,58,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2005,69,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2006,151,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2007,33,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2008,5,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2009,3,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2010,32,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2011,24,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2012,24,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2013,10,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2014,12,해당 연식 판매량 없음
현대자동차,투싼(TUCSON),2026,1,해당 연식 판매량 없음
현대자동차,팰리세이드 하이브리드(PALISADE HYBRID),2026,23,해당 연식 판매량 없음
현대자동차,팰리세이드(PALISADE),2026,8,해당 연식 판매량 없음
혼다코리아,CR-V 2WD,2007,2,차종 판매량 없음
혼다코리아,CR-V 2WD,2008,1,차종 판매량 없음
혼다코리아,CR-V 4WD,2007,9,차종 판매량 없음
혼다코리아,CR-V 4WD,2008,7,차종 판매량 없음
혼다코리아,CR-V 4WD,2010,3,차종 판매량 없음
혼다코리아,CR-V 4WD,2011,2,차종 판매량 없음
혼다코리아,CR-V 4WD,2012,2,차종 판매량 없음
혼다코리아,CR-V 4WD,2013,1,차종 판매량 없음
혼다코리아,CR-V 4WD,2014,2,차종 판매량 없음
혼다코리아,CR-V 4WD,2015,9,차종 판매량 없음
혼다코리아,CR-V 4WD,2016,11,차종 판매량 없음
혼다코리아,CR-V 4WD,2017,197,차종 판매량 없음
혼다코리아,CR-V HYBRID 4WD,2021,1,차종 판매량 없음
혼다코리아,CR-V HYBRID 4WD,2024,2,차종 판매량 없음
혼다코리아,ODYSSEY,2014,1,해당 연식 판매량 없음
