제조사,model_id,대표차종,차종유형,조회탭노출,2015년이후신고,누적신고건수,매칭판매량차종,판매량연도수,판매량합계
기아,4,카니발,MPV/미니밴,노출,있음,1350,카니발,11,769519
기아,54,카니발 II,MPV/미니밴,숨김,없음,2,카니발,11,769519
기아,72,카니발 아웃도어,MPV/미니밴,노출,있음,4,카니발,11,769519
기아,108,카니발 하이브리드,MPV/미니밴,노출,있음,85,카니발,11,769519
기아,43,카니발LPG,MPV/미니밴,숨김,없음,1,카니발,11,769519
기아,30,카렌스,MPV/미니밴,노출,있음,177,카렌스,4,11749
르노코리아,113,ARKANA,SUV,노출,있음,6,XM3/아르카나,6,93397
르노코리아,117,ARKANA 하이브리드,SUV,노출,있음,6,XM3/아르카나,6,93397
르노코리아,67,CAPTUR,SUV,노출,있음,32,QM3/캡처,7,66695
르노코리아,122,KOLEOS,SUV,노출,있음,242,그랑 콜레오스,2,62911
르노코리아,14,QM3,SUV,노출,있음,361,QM3/캡처,7,66695
르노코리아,9,QM5,SUV,노출,있음,45,QM5,2,7967
르노코리아,18,QM6,SUV,노출,있음,1174,QM6,10,257773
르노코리아,66,XM3,SUV,노출,있음,319,XM3/아르카나,6,93397
메르세데스 벤츠,19,GLC350 e 4Matic,SUV,노출,있음,136,GLC,10,68017
메르세데스 벤츠,34,GLK220 CDI 4Matic,SUV,노출,있음,52,GLK,1,774
메르세데스 벤츠,49,ML350 BlueTEC 4Matic,SUV,노출,있음,10,M클래스,1,838
메르세데스 벤츠,75,Mercedes-Benz EQA250,SUV,노출,있음,13,EQA,5,5336
메르세데스 벤츠,89,Mercedes-Benz EQB300 4MATIC,SUV,노출,있음,27,EQB,4,4366
메르세데스 벤츠,64,Mercedes-Benz GLA250 4MATIC,SUV,노출,있음,8,GLA,11,17825
메르세데스 벤츠,82,Mercedes-Benz GLB250 4MATIC,SUV,노출,있음,28,GLB,6,14941
메르세데스 벤츠,69,Mercedes-Benz GLE 450 4MATIC,SUV,노출,있음,15,GLE,10,49181
볼보,100,볼보 XC90B6 AWD,SUV,노출,있음,3,XC90,10,15964
볼보,47,볼보 XC90D5,SUV,숨김,없음,2,XC90,10,15964
볼보,10,볼보 XC90D5 AWD,SUV,노출,있음,19,XC90,10,15964
볼보,87,볼보 XC90T6 AWD,SUV,노출,있음,2,XC90,10,15964
볼보,81,볼보 XC90T8 AWD,SUV,노출,있음,8,XC90,10,15964
재규어랜드로버,74,재규어 E-PACE,SUV,노출,있음,5,E-PACE,4,1446
재규어랜드로버,56,재규어 F-PACE 20d,SUV,노출,있음,65,F-PACE,8,3772
재규어랜드로버,29,재규어 F-PACE 20d AWD,SUV,노출,있음,9,F-PACE,8,3772
재규어랜드로버,110,재규어 F-PACE 35t,SUV,노출,있음,1,F-PACE,8,3772
재규어랜드로버,101,재규어 F-PACE D200,SUV,노출,있음,1,F-PACE,8,3772
재규어랜드로버,102,재규어 I-PACE EV400,SUV,노출,있음,23,I-PACE,3,137
재규어랜드로버,48,프리랜더 SD4,SUV,숨김,없음,2,프리랜더,1,3
토요타,111,렉서스 RX500h,SUV,노출,있음,1,,0,0
토요타,109,토요타 Alphard Hybrid,MPV/미니밴,노출,있음,2,알파드,3,2984
토요타,86,토요타 RAV4,SUV,노출,있음,3,RAV4,11,36237
토요타,42,토요타 RAV4 2WD,SUV,노출,있음,4,RAV4,11,36237
토요타,55,토요타 RAV4 4WD,SUV,숨김,없음,1,RAV4,11,36237
토요타,58,토요타 RAV4 Hybrid,SUV,노출,있음,1,RAV4,11,36237
토요타,37,토요타 RAV4 Hybrid 2WD,SUV,노출,있음,2,RAV4,11,36237
토요타,35,토요타 RAV4 Hybrid AWD,SUV,노출,있음,9,RAV4,11,36237
토요타,115,토요타 RAV4 PHEV,SUV,노출,있음,1,RAV4,11,36237
토요타,60,토요타 SIENNA,MPV/미니밴,숨김,없음,2,시에나,11,9693
토요타,57,토요타 Sienna 4WD,MPV/미니밴,노출,있음,3,시에나,11,9693
토요타,96,토요타 Sienna Hybrid 2WD,MPV/미니밴,노출,있음,3,시에나,11,9693
토요타,92,토요타 Sienna Hybrid AWD,MPV/미니밴,노출,있음,1,시에나,11,9693
포드,70,Explorer 2.3,SUV,노출,있음,78,익스플로러,11,64789
포드,25,Explorer 2.3 AWD,SUV,노출,있음,54,익스플로러,11,64789
포드,94,Explorer 2.3L,SUV,노출,있음,7,익스플로러,11,64789
포드,99,Explorer 3.0,SUV,노출,있음,15,익스플로러,11,64789
포드,85,Explorer 3.0 PHEV,SUV,노출,있음,8,익스플로러,11,64789
현대자동차,80,GV70,SUV,노출,있음,88,GV70,6,174239
현대자동차,62,GV80,SUV,노출,있음,201,GV80,6,182873
현대자동차,103,GV80 쿠페(GV80 Coupe),SUV,노출,있음,3,GV80,6,182873
현대자동차,26,그랜드 스타렉스(GRAND STAREX),MPV/미니밴,노출,있음,133,그랜드 스타렉스,7,274367
현대자동차,77,스타리아 (STARIA),MPV/미니밴,노출,있음,114,스타리아,5,177608
현대자동차,123,스타리아 HYBRID (STARIA HYBRID),MPV/미니밴,노출,있음,1,스타리아,5,177608
현대자동차,79,스타리아 라운지 (STARIA LOUNGE),MPV/미니밴,노출,있음,96,스타리아,5,177608
현대자동차,118,스타리아 라운지 HYBRID (STARIA LOUNGE HYBRID),MPV/미니밴,노출,있음,1,스타리아,5,177608
현대자동차,21,싼타페,SUV,숨김,없음,30,싼타페,11,729184
현대자동차,76,싼타페 하이브리드(SANTAFE HYBRID),SUV,노출,있음,720,싼타페,11,729184
현대자동차,6,싼타페(SANTAFE),SUV,노출,있음,1935,싼타페,11,729184
현대자동차,91,코나 N(KONA N),SUV,노출,있음,2,코나,9,241016
현대자동차,22,코나 일렉트릭 (KONA ELECTRIC),SUV,노출,있음,276,코나 일렉트릭,5,23556
현대자동차,63,코나 하이브리드(KONA HYBRID),SUV,노출,있음,43,코나,9,241016
현대자동차,33,코나(KONA),SUV,노출,있음,56,코나,9,241016
현대자동차,65,투싼 하이브리드(TUCSON HYBRID),SUV,노출,있음,286,투싼,11,569157
현대자동차,8,투싼(TUCSON),SUV,노출,있음,1218,투싼,11,569157
현대자동차,39,투싼(TUCSON) 수소연료전지,SUV,노출,있음,4,투싼,11,569157
현대자동차,124,팰리세이드 하이브리드(PALISADE HYBRID),SUV,노출,있음,23,팰리세이드,8,344042
현대자동차,27,팰리세이드(PALISADE),SUV,노출,있음,638,팰리세이드,8,344042
혼다코리아,53,CR-V 2WD,SUV,숨김,없음,3,CR-V,11,12384
혼다코리아,32,CR-V 4WD,SUV,노출,있음,243,CR-V,11,12384
혼다코리아,119,CR-V HYBRID 4WD,SUV,노출,있음,3,CR-V,11,12384
혼다코리아,7,ODYSSEY,MPV/미니밴,노출,있음,55,오딧세이,11,4726
