제조사,model_id,대표차종,차종유형,조회탭노출,2015년이후신고,누적신고건수,매칭판매량차종,판매량연도수,판매량합계
BMW,59,BMW X5 3.0,SUV,숨김,없음,2,X5,11,60920
BMW,41,BMW X5 3.0d,SUV,숨김,없음,8,X5,11,60920
BMW,73,BMW X5 3.0si,SUV,숨김,없음,1,X5,11,60920
BMW,50,BMW X5 M50d,SUV,노출,있음,3,X5,11,60920
BMW,16,BMW X5 xDrive30d,SUV,노출,있음,56,X5,11,60920
BMW,68,BMW X5 xDrive30d M Sport Package,SUV,노출,있음,13,X5,11,60920
BMW,88,BMW X5 xDrive30d xLine,SUV,노출,있음,4,X5,11,60920
BMW,38,BMW X5 xDrive35i,SUV,숨김,없음,1,X5,11,60920
BMW,36,BMW X5 xDrive40d,SUV,노출,있음,7,X5,11,60920
BMW,106,BMW X5 xDrive40e iPerformance,SUV,노출,있음,3,X5,11,60920
BMW,83,BMW X5 xDrive40i,SUV,노출,있음,16,X5,11,60920
BMW,84,BMW X5 xDrive45e iPerformance,SUV,노출,있음,5,X5,11,60920
BMW,114,BMW X5 xDrive50e,SUV,노출,있음,3,X5,11,60920
BMW,44,BMW X5 xDrive50i,SUV,숨김,없음,2,X5,11,60920
BMW,126,BMW X7 xDrive 30d Design Pure Excellence,SUV,노출,있음,1,X7,7,24963
BMW,120,BMW X7 xDrive 30d M Sport Package,SUV,노출,있음,1,X7,7,24963
BMW,98,BMW X7 xDrive40d,SUV,노출,있음,4,X7,7,24963
BMW,95,BMW X7 xDrive40i,SUV,노출,있음,6,X7,7,24963
KG 모빌리티,12,G4 렉스턴,SUV,노출,있음,142,G4 렉스턴,4,53439
KG 모빌리티,23,렉스턴,SUV,노출,있음,226,렉스턴,9,31526
KG 모빌리티,15,렉스턴스포츠,SUV,노출,있음,71,렉스턴 스포츠,8,130517
KG 모빌리티,31,렉스턴스포츠 칸,SUV,노출,있음,50,렉스턴 스포츠 칸,7,66966
KG 모빌리티,112,렉스턴스포츠 칸 쿨멘,SUV,노출,있음,5,렉스턴 스포츠 칸,7,66966
KG 모빌리티,105,렉스턴스포츠 쿨멘,SUV,노출,있음,3,렉스턴 스포츠,8,130517
KG 모빌리티,121,렉스턴스포츠 쿨멘 칸,SUV,노출,있음,1,렉스턴 스포츠,8,130517
KG 모빌리티,90,토레스,SUV,노출,있음,146,토레스,4,79264
KG 모빌리티,104,토레스 EVX,SUV,노출,있음,176,토레스 EVX,3,10037
KG 모빌리티,125,토레스 하이브리드,SUV,노출,있음,5,토레스,4,79264
KG 모빌리티,17,티볼리,SUV,노출,있음,221,티볼리,11,294264
KG 모빌리티,11,티볼리 에어,SUV,노출,있음,74,티볼리 에어,6,12273
기아,20,그랜드 카니발,MPV/미니밴,노출,있음,137,카니발,11,769519
기아,24,니로 EV,SUV,노출,있음,289,니로 EV,5,10407
기아,3,니로 PHEV,SUV,노출,있음,8,니로,10,194255
기아,97,니로 플러스,SUV,노출,있음,16,니로 플러스,3,8038
기아,2,니로 하이브리드,SUV,노출,있음,506,니로,10,194255
기아,1,모하비,SUV,노출,있음,212,모하비,10,105426
기아,5,스포티지,SUV,노출,있음,629,스포티지,11,542601
기아,93,스포티지 하이브리드,SUV,노출,있음,212,스포티지,11,542601
기아,13,쏘렌토,SUV,노출,있음,2177,쏘렌토,11,857927
기아,52,쏘렌토 GL,SUV,숨김,없음,6,쏘렌토,11,857927
기아,46,쏘렌토 GLS,SUV,숨김,없음,7,쏘렌토,11,857927
기아,61,쏘렌토 하이브리드,SUV,노출,있음,1457,쏘렌토,11,857927
